id,name,year,denomination,category,metal,purity,weight_g,diameter_mm,mintage,series,monarch,obverse_designer,reverse_designer,edge,finish,composition,country
limited-edition-collectors-set-chinatown-gates,Limited Edition Collector's Set: Chinatown Gates,,,set,,,,,,,,,,,Uncirculated,,Canada
wonders-of-nature-10g-silver-bar---birch-bark,Wonders of Nature 10g Silver Bar - Birch Bark,,,collectible,silver,.999,10.0,,,,,,,Serrated,Uncirculated,99.9% silver,Canada
wonders-of-nature-10g-silver-bar---maple-leaves,Wonders of Nature 10g Silver Bar - Maple Leaves,,,collectible,silver,.999,10.0,,,,,,,Serrated,Uncirculated,99.9% silver,Canada
wonders-of-nature-10g-silver-bar---river-stones,Wonders of Nature 10g Silver Bar - River Stones,,,collectible,silver,.999,10.0,,,,,,,Serrated,Uncirculated,99.9% silver,Canada
wonders-of-nature-10g-silver-bar---snow-flakes,Wonders of Nature 10g Silver Bar - Snow Flakes,,,collectible,silver,.999,10.0,,,,,,,Serrated,Uncirculated,99.9% silver,Canada
1-cent-1858,1 cent 1858,1858,1 cent,circulation,copper,,4.54,25.4,421000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Plain (smooth),Circulation,"95% copper, 4% tin, 1% zinc",Canada
5-cents-1858,5 cents 1858,1858,5 cents,circulation,silver,.925,1.16,15.5,1460389,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Reeded,Circulation,"92.5% silver, 7.5% copper (sterling silver)",Canada
10-cents-1858,10 cents 1858,1858,10 cents,circulation,silver,.925,2.32,18.0,1216402,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Reeded,Circulation,"92.5% silver, 7.5% copper (sterling silver)",Canada
20-cents-1858,20 cents 1858,1858,20 cents,circulation,silver,.925,4.65,23.3,730392,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Reeded,Circulation,"92.5% silver, 7.5% copper (sterling silver)",Canada
1-cent-1859,1 cent 1859,1859,1 cent,circulation,copper,,4.54,25.4,9579000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Plain (smooth),Circulation,"95% copper, 4% tin, 1% zinc",Canada
nb-1c-1861,New Brunswick 1 Cent 1861,1861,1 cent,circulation,copper,,5.67,25.53,1000000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Plain,Circulation,"95% copper, 4% tin, 1% zinc",New Brunswick
ns-1c-1861,Nova Scotia 1 Cent 1861,1861,1 cent,circulation,copper,,5.67,25.53,800000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Plain,Circulation,"95% copper, 4% tin, 1% zinc",Nova Scotia
nb-half-cent-1861,New Brunswick Half Cent 1861,1861,1/2 cent,circulation,copper,,2.84,20.65,222800,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Plain,Circulation,"95% copper, 4% tin, 1% zinc",New Brunswick
ns-half-cent-1861,Nova Scotia Half Cent 1861,1861,1/2 cent,circulation,copper,,2.84,20.65,400000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Plain,Circulation,"95% copper, 4% tin, 1% zinc",Nova Scotia
nb-1c-1862,New Brunswick 1 Cent 1862,1862,1 cent,circulation,copper,,5.67,25.53,1000000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Plain,Circulation,"95% copper, 4% tin, 1% zinc",New Brunswick
ns-1c-1862,Nova Scotia 1 Cent 1862,1862,1 cent,circulation,copper,,5.67,25.53,1000000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Plain,Circulation,"95% copper, 4% tin, 1% zinc",Nova Scotia
nb-5c-1862,New Brunswick 5 Cents 1862,1862,5 cents,circulation,silver,.925,1.162,15.49,100000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Reeded,Circulation,"92.5% silver, 7.5% copper",New Brunswick
nb-10c-1862,New Brunswick 10 Cents 1862,1862,10 cents,circulation,silver,.925,2.324,17.91,150000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Reeded,Circulation,"92.5% silver, 7.5% copper",New Brunswick
nb-20c-1862,New Brunswick 20 Cents 1862,1862,20 cents,circulation,silver,.925,4.648,23.27,150000,Pre-Confederation Coinage,Victoria,Leonard Charles Wyon,Leonard Charles Wyon,Reeded,Circulation,"92.5% silver, 7.5% copper",New Brunswick
